Table 1
Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro)
,MULTI CRAWLING,AEROSOL,STARTER 1,"6,918",344, € 	20.11 
,,GEL TUBE,STARTER 1,"9,087",485, € 	18.74 
,,LIQUID TRIGGER,STARTER 1,"26,788",997, € 	26.87 
,,PELLET/GRANULE,STARTER 1,"25,635",2088, € 	12.28 
,,TRAP,STARTER 4,"2,624",80, € 	32.80 
,,,STARTER 5,"43,278",8552, € 	5.06 
,MULTI FLYING & CRAWLING,AEROSOL,STARTER 1,"159,159",9271, € 	17.17 
,,ALL OTHER FORM,STARTER 1,972,205, € 	4.74 
,,BALL,STARTER 1,,,
,,CANDLE,STARTER 4,"36,074",1511, € 	23.87 
,,,STARTER 6,"15,324",718, € 	21.34 
,,,STARTER AO,"6,649",296, € 	22.46 
,,ELECTRIC LIQUID,REFILL 1,"14,492",1217, € 	11.91 
,,,STARTER 1,"2,712",292, € 	9.29 
,,,STARTER 2,"11,463",466, € 	24.60 
,,FOGGER/FUMIGATOR/BOMB,STARTER 1,"465,888",22888, € 	20.36 
,,,STARTER 3,"32,872",854, € 	38.49 
,,,STARTER 4,"45,491",652, € 	69.77 
,,,STARTER AO,"9,690",325, € 	29.81 
,,GLUE STRIP,STARTER 1,"58,453",4533, € 	12.90 
,,,STARTER 3,"176,437",4162, € 	42.39 
,,,STARTER 4,"6,437",1182, € 	5.45 
,,LIQUID BOTTLE,STARTER 1,"88,150",3508, € 	25.13 
,,LIQUID POWER SPRAYER,STARTER 1,"2,407",88, € 	27.35 
,,PAPER/CARD,STARTER 2,"1,217",49, € 	24.84 
,,PELLET/GRANULE,STARTER 1,"1,578",49, € 	32.20 
,,TRAP,STARTER 1,"5,559",328, € 	16.95 
,OTHER CRAWLING,AEROSOL,STARTER 1,"7,036",585, € 	12.03 
,,ASSORTED FORM,STARTER 1,44,1, € 	44.19 
,,FOGGER/FUMIGATOR/BOMB,STARTER 1,"69,675",3933, € 	17.72 
,,,STARTER 3,"332,687",9859, € 	33.74 
,,GEL TUBE,STARTER 1,110,9, € 	12.26 
,,LIQUID BOTTLE,STARTER 1,"78,219",5196, € 	15.05 
,,PAPER/CARD,STARTER 1,"24,167",2040, € 	11.85 
,,PELLET/GRANULE,STARTER 1,"85,179",3867, € 	22.03 
,,,STARTER AO,"74,137",1920, € 	38.61 
,,POWDER,STARTER 1,153,10, € 	15.30 
,,,STARTER AO,"32,500",846, € 	38.42 
,,TRAP,STARTER 1,"77,699",1250, € 	62.16 
,,,STARTER 2,"1,669",177, € 	9.43 
,,,STARTER 3,228,43, € 	5.31 
,,,STARTER 4,"20,587",1341, € 	15.35 
,OTHER FLYING,AEROSOL,STARTER 1,"10,055",626, € 	16.06 
,,,STARTER 4,"1,123",77, € 	14.59 
,,ALL OTHER FORM,STARTER 1,"9,164",44, € 	208.28 
,,BAIT SOLID,STARTER 1,"166,487",7971, € 	20.89 
,,BAIT STATION,STARTER 1,421,33, € 	12.75 
,,CAGE,STARTER 1,"3,410",206, € 	16.55 
,,,STARTER 2,"9,095",458, € 	19.86 
,,,STARTER 3,"18,204",419, € 	43.45 
,,COIL,STARTER 1,"24,914",6460, € 	3.86 
,,,STARTER 5,,,
,,,STARTER AO,791,14, € 	56.47 
,,ELECTRIC LIQUID,REFILL 1,"114,316",26486, € 	4.32 
,,,REFILL 2,"7,372",339, € 	21.75 
,,,REFILL 3,"12,053",824, € 	14.63 
,,,STARTER 1,"188,051",12473, € 	15.08 
,,,STARTER 3,"51,192",3294, € 	15.54 
,,ELECTRIC MAT,REFILL 1,"19,995",4161, € 	4.81 
,,,REFILL AO,"28,348",2110, € 	13.44 
,,,STARTER 2,635,52, € 	12.21 
,,ELECTRIC SAND,REFILL 1,,,
,,,REFILL 2,"16,285",1118, € 	14.57 
,,,STARTER 1,,,
,,FOGGER/FUMIGATOR/BOMB,STARTER 1,,,
,,GLUE STRIP,STARTER 1,"158,011",51041, € 	3.10 
,,,STARTER 2,"33,680",1514, € 	22.25 
,,,STARTER 3,"59,924",3980, € 	15.06 
,,,STARTER 4,"62,893",5353, € 	11.75 
,,,STARTER 5,,,
,,,STARTER 6,"63,813",9190, € 	6.94 
,,,STARTER AO,"287,825",24099, € 	11.94 
,,LIQUID BOTTLE,STARTER 1,"14,255",990, € 	14.40 
,,PAPER/CARD,STARTER 1,"16,839",2955, € 	5.70 
,,PELLET/GRANULE,STARTER 1,"23,517",1052, € 	22.35 
,,POWDER,STARTER 1,406,16, € 	25.39 
,,SACHET,STARTER 1,"24,772",1735, € 	14.28 
,,,STARTER 4,"16,872",595, € 	28.36 
,,,STARTER 5,212,12, € 	17.70 
,,,STARTER AO,"4,415",1416, € 	3.12 
,,TORCH,STARTER 1,"5,195",341, € 	15.23 
,,,STARTER 2,"2,061",95, € 	21.69 
,,TRAP,REFILL 1,"18,820",1520, € 	12.38 
,,,REFILL 1 + 1,"20,525",726, € 	28.27 
,,,REFILL 4,"2,251",123, € 	18.30 
,,,STARTER 1,"478,093",35360, € 	13.52 
,,,STARTER 2,"303,274",15548, € 	19.51 
,,,STARTER 3,"6,418",352, € 	18.23 
,,,STARTER 4,"53,526",2608, € 	20.52 
,,,STARTER 5,"11,172",266, € 	42.00 
,,,STARTER 6,"3,273",137, € 	23.89 
,,,STARTER AO,"116,318",10360, € 	11.23 
AREA INSTANT,ANT/ROACH,AEROSOL,STARTER 1,"90,872",8850, € 	10.27 
,,,STARTER 2,"9,569",322, € 	29.72 
,,,STARTER 4,,,
,,FOAM,STARTER 1,575,53, € 	10.85 
,,LIQUID BOTTLE,STARTER 1,"34,454",3174, € 	10.86 
,,LIQUID TRIGGER,STARTER 1,"179,930",11489, € 	15.66 
,,,STARTER 2,895,42, € 	21.31 
,MOSQUITO,AEROSOL,REFILL 1,"7,546",94, € 	80.28 
,,,STARTER 1,"142,916",33519, € 	4.26 
,,,STARTER 2,"9,052",485, € 	18.66 
,,,STARTER 4,"178,506",2660, € 	67.11 
,,,STARTER 6,"59,746",548, € 	109.03 
,,ASSORTED FORM,REFILL 1,"31,963",2203, € 	14.51 
,,AUTOMATIC SPRAY,STARTER 6,"2,797",37, € 	75.61 
,,ELECTRIC MAT,STARTER 1,,,
