Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro)
,,BAIT STATION,STARTER 1,"296,421",12001, € 	24.70 
,,,STARTER 3,"33,110",3198, € 	10.35 
,,,STARTER 6,"249,981",15200, € 	16.45 
,,,STARTER AO,"216,407",17856, € 	12.12 
,,BALL,STARTER 1,"6,726",435, € 	15.46 
,,FOGGER/FUMIGATOR/BOMB,STARTER 2,"423,111",38243, € 	11.06 
,,GEL TUBE,STARTER 1,,,
,,GLUE STRIP,STARTER 1,"158,980",11349, € 	14.01 
,,,STARTER 6,"6,767",215, € 	31.47 
,,LIQUID BOTTLE,STARTER 1,"18,922",189, € 	100.12 
,,LIQUID TRIGGER,STARTER 1,"4,327",215, € 	20.13 
,,PAPER/CARD,STARTER AO,"27,538",657, € 	41.92 
,,PELLET/GRANULE,STARTER 1,"3,253",196, € 	16.60 
,,POWDER,STARTER 1,"3,540",246, € 	14.39 
,,STICK,STARTER 1,"325,209",10912, € 	29.80 
,,,STARTER AO,"9,640",282, € 	34.19 
,,TRAP,STARTER 1,"18,786",1072, € 	17.52 
,,,STARTER 2,"10,486",1425, € 	7.36 
,,,STARTER 6,,,
,,,STARTER AO,"23,423",1886, € 	12.42 
,,WOOD,STARTER 1,"9,999",471, € 	21.23 
,OTHER FLYING,,STARTER 1,"5,053",463, € 	10.91 
,,,STARTER 2,"42,279",3361, € 	12.58 
,,,STARTER 3,"10,182",398, € 	25.58 
,,,STARTER 4,"25,177",1295, € 	19.44 
,,,STARTER 5,"1,070",12, € 	89.19 
,,,STARTER AO,"24,939",894, € 	27.90 
,,ASSORTED FORM,STARTER 1 + 5,"3,160",358, € 	8.83 
,,BAIT LIQUID,REFILL 1,"8,074",778, € 	10.38 
,,BAIT SOLID,REFILL 2,"71,121",4930, € 	14.43 
,,,REFILL 3,"55,635",3838, € 	14.50 
,,,STARTER 1,"12,397",530, € 	23.39 
,,,STARTER 3,"112,592",7523, € 	14.97 
,,BAIT STATION,STARTER 1,"1,223",73, € 	16.75 
,,,STARTER 2,"3,380",172, € 	19.65 
,,GLUE STRIP,STARTER 1,"254,792",24208, € 	10.53 
,,,STARTER 2,"1,237",33, € 	37.50 
,,,STARTER 3,"87,087",5826, € 	14.95 
,,,STARTER 4,"2,996",1118, € 	2.68 
,,,STARTER AO,"171,437",18950, € 	9.05 
,,PAPER/CARD,STARTER 3,,,
,,SACHET,STARTER 1,"1,386",348, € 	3.98 
,,TRAP,REFILL 1,"8,314",520, € 	15.99 
,,,REFILL 2,"10,752",222, € 	48.43 
,,,REFILL 3,"3,092",308, € 	10.04 
,,,REFILL 4,"3,352",35, € 	95.77 
,,,REFILL AO,"4,740",287, € 	16.52 
,,,STARTER 1,"3,562,284",208529, € 	17.08 
,,,STARTER 2,"856,874",60488, € 	14.17 
,,,STARTER 3,"1,026,667",68034, € 	15.09 
,,,STARTER 4,"226,624",19418, € 	11.67 
,,,STARTER 5,"92,873",5922, € 	15.68 
,,,STARTER 6,"107,637",7080, € 	15.20 
,,,STARTER AO,"141,927",10408, € 	13.64 
AREA INSTANT,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,ANT/ROACH,,STARTER 1,"8,039",581, € 	13.84 
,,,STARTER 2,"1,034",62, € 	16.68 
,,,STARTER 6,"1,388",44, € 	31.54 
,,AEROSOL,STARTER 1,"356,320",28828, € 	12.36 
,,,STARTER 2,"55,937",1666, € 	33.58 
,,,STARTER 3,"2,740",131, € 	20.92 
,,,STARTER 4,"11,858",99, € 	119.77 
,,BAIT SOLID,STARTER 1,"24,794",827, € 	29.98 
,,LIQUID BOTTLE,STARTER 1,"3,885",400, € 	9.71 
,,LIQUID POWER SPRAYER,STARTER 1,"30,182",839, € 	35.97 
,,,STARTER 2,"65,881",2455, € 	26.84 
,,,STARTER 3,"1,770",34, € 	52.05 
,,,STARTER AO,721,7, € 	103.03 
,,LIQUID PUMP,STARTER 1,"1,543",84, € 	18.37 
,,LIQUID TRIGGER,STARTER 1,"153,886",6237, € 	24.67 
,,,STARTER 3,"14,954",409, € 	36.56 
,,,STARTER 4,"16,079",969, € 	16.59 
,MOSQUITO,,REFILL AO,,,
,,,STARTER 1,"70,965",3144, € 	22.57 
,,,STARTER 2,"20,271",559, € 	36.26 
,,,STARTER 3,"10,312",662, € 	15.58 
,,,STARTER 4,"1,368",76, € 	18.00 
,,,STARTER 6,"11,727",608, € 	19.29 
,,,STARTER AO,"9,344",239, € 	39.10 
,,AEROSOL,STARTER 1,"113,268",9970, € 	11.36 
,,,STARTER 2,"26,315",1331, € 	19.77 
,,,STARTER 3,"30,487",2307, € 	13.22 
,,,STARTER 4,"7,767",581, € 	13.37 
,,,STARTER 5,"57,512",1459, € 	39.42 
,,,STARTER AO,"12,825",196, € 	65.43 
,,ASSORTED FORM,STARTER 1,504,34, € 	14.84 
,,,STARTER 3,82,3, € 	27.38 
,,ELECTRIC MAT,STARTER 1,"24,001",2480, € 	9.68 
,,ELECTRIC SAND,STARTER 2,,,
,,GLUE STRIP,STARTER AO,"55,006",5856, € 	9.39 
,,LIQUID PUMP,STARTER 1,"27,072",2135, € 	12.68 
,,,STARTER 2,"20,347",772, € 	26.36 
,,,STARTER 4,"2,076",60, € 	34.60 
,,LIQUID TRIGGER,STARTER 1,"59,994",3647, € 	16.45 
,,,STARTER 2,"77,767",2965, € 	26.23 
,,,STARTER 3,"23,345",776, € 	30.08 
,,,STARTER 4,"38,348",901, € 	42.56 
,,,STARTER 6,"6,691",118, € 	56.71 
,,PATCH,STARTER AO,"1,194",84, € 	14.21 
,MOTH,,STARTER 1,,,
,,,STARTER 2,"2,319",58, € 	39.98 
,,AEROSOL,STARTER 1,"9,626",375, € 	25.67 
,,LIQUID POWER SPRAYER,STARTER 1,"29,836",702, € 	42.50 
,,,STARTER 2,"4,094",50, € 	81.87 
,,LIQUID PUMP,STARTER 1,"109,146",5221, € 	20.91 
,,,STARTER 2,"28,905",992, € 	29.14 
,,,STARTER 3,"23,473",472, € 	49.73 
,,LIQUID TRIGGER,STARTER 1,"294,349",15111, € 	19.48 
,,,STARTER 2,"4,843",302, € 	16.04 
,,WOOD,STARTER 1,"66,727",3548, € 	18.81 
,,,STARTER AO,"2,797",186, € 	15.04 
,MULTI CRAWLING,AEROSOL,STARTER 1,"1,553",374, € 	4.15 
,,,STARTER 2,"38,818",8516, € 	4.56 
,,LIQUID TRIGGER,STARTER 1,"133,920",5706, € 	23.47 
,MULTI FLYING & CRAWLING,AEROSOL,REFILL 1,"9,041",324, € 	27.90 
,,,STARTER 1,"1,082,928",110156, € 	9.83 
,,,STARTER 2,"70,409",3437, € 	20.49 
,,,STARTER 3,"27,823",1618, € 	17.20 
,,,STARTER 4,"37,063",1359, € 	27.27 
,,,STARTER 5,"15,219",600, € 	25.37 
,,,STARTER AO,"18,367",169, € 	108.68 
,,FOAM,STARTER 1,"5,958",145, € 	41.09 
,,LIQUID POWER SPRAYER,STARTER 1,"92,236",2185, € 	42.21 
,,,STARTER 1 + 1,"12,299",398, € 	30.90 
,,,STARTER 2,"36,035",821, € 	43.89 
,,,STARTER 4,"9,698",90, € 	107.76 
,,LIQUID PUMP,STARTER 1,"144,981",11182, € 	12.97 
,,,STARTER 2,"5,636",95, € 	59.33 
,,,STARTER 3,494,14, € 	35.32 
,,LIQUID TRIGGER,STARTER 1,"2,071,300",105380, € 	19.66 
,,,STARTER 2,"54,314",2323, € 	23.38 
,,,STARTER 3,"52,257",2059, € 	25.38 
,,,STARTER 4,"31,607",867, € 	36.46 
,,,STARTER 6,"7,413",95, € 	78.03 
,,,STARTER AO,"13,313",153, € 	87.01 
,OTHER CRAWLING,,REFILL 1,929,15, € 	61.93 
,,,STARTER 1,"56,747",3453, € 	16.43 
,,,STARTER 2,"11,091",269, € 	41.23 
,,,STARTER 3,352,10, € 	35.17 
,,,STARTER 4,"26,028",540, € 	48.20 
,,,STARTER 6,"2,121",35, € 	60.59 
,,AEROSOL,STARTER 1,"1,776,723",98636, € 	18.01 
,,,STARTER 2,"427,331",13115, € 	32.58 
,,,STARTER 3,"85,805",2870, € 	29.90 
,,,STARTER 4,"6,622",37, € 	178.97 
,,,STARTER 5,"5,926",152, € 	38.99 
,,,STARTER AO,"28,238",263, € 	107.37 
,,FOAM,STARTER 4,"114,887",3667, € 	31.33 
,,,STARTER AO,"7,030",142, € 	49.51 
,,LIQUID BOTTLE,REFILL 1,"2,461",86, € 	28.61 
,,LIQUID POWER SPRAYER,STARTER 1,"346,885",8595, € 	40.36 
,,,STARTER 1 + 2,"26,460",527, € 	50.21 
,,,STARTER 1 + 3,"2,648",40, € 	66.20 
,,,STARTER 2,"61,971",976, € 	63.49 
,,,STARTER 3,"64,963",1300, € 	49.97 
,,,STARTER 4,"103,665",898, € 	115.44 
,,LIQUID PUMP,STARTER 1,"185,401",5248, € 	35.33 
,,,STARTER 2,"193,727",6398, € 	30.28 
,,LIQUID TRIGGER,STARTER 1,"574,969",28146, € 	20.43 
,,,STARTER 2,"82,855",2373, € 	34.92 
,,,STARTER 3,"10,309",98, € 	105.20 
,,,STARTER 4,"8,335",84, € 	99.23 
,,,STARTER AO,"53,666",495, € 	108.42 
,OTHER FLYING,,STARTER 1,"23,750",1244, € 	19.09 
,,AEROSOL,STARTER 1,"435,580",38640, € 	11.27 
,,,STARTER 2,"95,498",3893, € 	24.53 
,,,STARTER 4,"35,309",1942, € 	18.18 
,,ASSORTED FORM,STARTER 1,"7,335",366, € 	20.04 
,,FOAM,STARTER 1,"1,368,449",99570, € 	13.74 
,,,STARTER 2,"182,749",10437, € 	17.51 
,,,STARTER 3,"15,708",577, € 	27.22 
,,,STARTER 4,"28,459",1548, € 	18.38 
,,,STARTER 6,494,29, € 	17.05 
,,GLUE STRIP,STARTER 4,"12,296",190, € 	64.72 
,,LIQUID POWER SPRAYER,STARTER 1,"188,097",10497, € 	17.92 
,,,STARTER 2,"22,674",803, € 	28.24 
,,,STARTER 3,"417,346",12090, € 	34.52 
,,,STARTER 6,"182,812",2936, € 	62.27 
,,LIQUID PUMP,STARTER 1,"3,777",173, € 	21.83 
,,,STARTER 2,"4,954",119, € 	41.63 
