Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro),,,
,,,STARTER 3,"4,534",187, € 	24.24 ,,,
,,,STARTER 4,"14,471",676, € 	21.41 ,,,
,,,STARTER AO,"37,634",2084, € 	18.06 ,,,
,,COIL,STARTER 1,"2,917",223, € 	13.08 ,,,
,,,STARTER AO,"2,130",882, € 	2.41 ,,,
,,ELECTRIC LIQUID,REFILL 1,"23,407",1453, € 	16.11 ,,,
,,,REFILL 2,"3,240",188, € 	17.24 ,,,
,,,STARTER 1,"11,320",331, € 	34.20 ,,,
,,ELECTRIC SAND,STARTER 1,"1,208",20, € 	60.39 ,,,
,,FOAM,STARTER 1,688,44, € 	15.64 ,,,
,,FOGGER/FUMIGATOR/BOMB,STARTER 1,"233,680",6888, € 	33.93 ,,,
,,,STARTER 3,,,,,,
,,,STARTER 4,"40,798",567, € 	71.95 ,,,
,,,STARTER AO,"150,558",1774, € 	84.87 ,,,
,,GEL BOTTLE,STARTER 1,"25,118",1989, € 	12.63 ,,,
,,GEL TUBE,STARTER 1,"9,606",218, € 	44.06 ,,,
,,,STARTER AO,"2,335",63, € 	37.06 ,,,
,,GLUE STRIP,STARTER 1,"11,416",517, € 	22.08 ,,,
,,,STARTER 2,"2,321",50, € 	46.41 ,,,
,,LAMP/LANTERN,STARTER AO,789,36, € 	21.93 ,,,
,,LIQUID BOTTLE,STARTER 1,"89,591",3171, € 	28.25 ,,,
,,,STARTER 2,"9,914",286, € 	34.66 ,,,
,,,STARTER 3,"1,031",18, € 	57.25 ,,,
,,LIQUID TRIGGER,STARTER 1,"25,275",1138, € 	22.21 ,,,
,,,STARTER 4,"3,178",79, € 	40.22 ,,,
,,PELLET/GRANULE,STARTER 1,"18,004",979, € 	18.39 ,,,
,,ROLL ON,STARTER 1,,,,,,
,,SACHET,STARTER 1,"59,868",6903, € 	8.67 ,,,
,,TRAP,STARTER 1,"116,512",6208, € 	18.77 ,,,
,,,STARTER 3,461,18, € 	25.62 ,,,
,,,STARTER 4,"5,020",348, € 	14.43 ,,,
,,,STARTER 6,"1,181",52, € 	22.72 ,,,
,,,STARTER AO,"6,533",364, € 	17.95 ,,,
,OTHER CRAWLING,,STARTER 1,853,56, € 	15.22 ,,,
,,,STARTER 4,"1,450",113, € 	12.83 ,,,
,,ALL OTHER FORM,STARTER 1,"7,807",444, € 	17.58 ,,,
,,ASSORTED FORM,STARTER 1,"6,806",199, € 	34.20 ,,,
,,BAIT SOLID,STARTER 1,"1,509",148, € 	10.20 ,,,
,,,STARTER 3,573,59, € 	9.71 ,,,
,,FOAM,STARTER 1,712,39, € 	18.27 ,,,
,,FOGGER/FUMIGATOR/BOMB,STARTER 1,"7,822",430, € 	18.19 ,,,
,,GLUE STRIP,STARTER 2,"3,962",416, € 	9.52 ,,,
,,,STARTER 3,"1,966",100, € 	19.66 ,,,
,,,STARTER 6,"3,780",126, € 	30.00 ,,,
,,LIQUID BOTTLE,STARTER 1,"1,990",11, € 	180.95 ,,,
,,,STARTER 2,"2,691",66, € 	40.77 ,,,
,,LIQUID TRIGGER,STARTER 1,"11,100",1343, € 	8.27 ,,,
,,PELLET/GRANULE,STARTER 1,"30,355",3049, € 	9.96 ,,,
,,POWDER,STARTER 1,"24,001",1282, € 	18.72 ,,,
,,,STARTER 3,"6,236",133, € 	46.89 ,,,
,,SACHET,STARTER 1,"2,250",123, € 	18.29 ,,,
,,TRAP,REFILL 1,"2,768",157, € 	17.63 ,,,
,,,STARTER 1,"3,309",322, € 	10.28 ,,,
,,,STARTER 2,"7,240",729, € 	9.93 ,,,
,,,STARTER 5,"6,119",670, € 	9.13 ,,,
,,,STARTER AO,"5,968",246, € 	24.26 ,,,
,OTHER FLYING,,STARTER 1,"7,008",388, € 	18.06 ,,,
,,,STARTER 2,"11,176",853, € 	13.10 ,,,
,,,STARTER 4,"3,154",161, € 	19.59 ,,,
,,,STARTER 5,"11,884",212, € 	56.05 ,,,
,,,STARTER 6,"10,085",152, € 	66.35 ,,,
,,,STARTER AO,"13,671",780, € 	17.53 ,,,
,,ASSORTED FORM,REFILL 5,"3,472",101, € 	34.37 ,,,
,,,STARTER 1,"10,692",893, € 	11.97 ,,,
,,,STARTER 5,"5,082",297, € 	17.11 ,,,
,,AUTOMATIC SPRAY,STARTER 1,,,,,,
,,BAIT STATION,STARTER 1,"26,364",1849, € 	14.26 ,,,
,,COIL,STARTER 1,403,37, € 	10.90 ,,,
,,ELECTRIC LIQUID,REFILL 1,"17,271",324, € 	53.30 ,,,
,,,REFILL 2,"4,080",327, € 	12.48 ,,,
,,,REFILL AO,,,,,,
,,,STARTER 1,"8,203",905, € 	9.06 ,,,
,,,STARTER 6,783,9, € 	87.02 ,,,
,,ELECTRIC MAT,REFILL AO,"3,891",1068, € 	3.64 ,,,
,,FOAM,STARTER 1,"5,765",456, € 	12.64 ,,,
,,GLUE STRIP,STARTER 1,"456,154",35895, € 	12.71 ,,,
,,,STARTER 2,"152,230",30945, € 	4.92 ,,,
,,,STARTER 4,"2,421",409, € 	5.92 ,,,
,,,STARTER AO,"13,720",762, € 	18.01 ,,,
,,LIQUID BOTTLE,STARTER 1,"18,892",521, € 	36.26 ,,,
,,PAPER/CARD,STARTER 3,"5,105",82, € 	62.26 ,,,
,,,STARTER 5,"9,843",48, € 	205.05 ,,,
,,PELLET/GRANULE,STARTER 1,"89,160",847, € 	105.27 ,,,
,,POWDER,STARTER 1,"4,865",204, € 	23.85 ,,,
,,STICK,STARTER 1,235,13, € 	18.10 ,,,
,,TRAP,REFILL 1,"35,110",2264, € 	15.51 ,,,
,,,REFILL 4,"1,724",152, € 	11.34 ,,,
,,,STARTER 1,"859,069",51813, € 	16.58 ,,,
,,,STARTER 2,"77,738",4826, € 	16.11 ,,,
,,,STARTER 3,"33,224",1181, € 	28.13 ,,,
,,,STARTER 4,"101,455",4498, € 	22.56 ,,,
,,,STARTER 6,"1,392",41, € 	33.96 ,,,
,,,STARTER AO,"117,891",9096, € 	12.96 ,,,
,,UNDEFINED,STARTER 2,318,24, € 	13.23 ,,,
AREA INSTANT,,,STARTER 1,"8,690",407, € 	21.35 ,,,
,,,STARTER 3,"7,156",154, € 	46.47 ,,,
,,,STARTER 5,562,36, € 	15.61 ,,,
,ANT/ROACH,,STARTER 1,"3,316",159, € 	20.86 ,,,
,,AEROSOL,STARTER 1,"316,976",40874, € 	7.75 ,,,
,,,STARTER 2,"8,144",465, € 	17.51 ,,,
,,,STARTER 4,"2,609",93, € 	28.05 ,,,
,,,STARTER AO,"9,600",182, € 	52.75 ,,,
,,FOAM,STARTER 1,"16,679",489, € 	34.11 ,,,
,,,STARTER 2,,,,,,
,,LIQUID BOTTLE,REFILL 2,842,161, € 	5.23 ,,,
,,,STARTER 1,"32,852",2459, € 	13.36 ,,,
,,,STARTER 6,20,2, € 	10.20 ,,,
,,,STARTER AO,"18,193",121, € 	150.35 ,,,
,,LIQUID TRIGGER,STARTER 1,"3,074",327, € 	9.40 ,,,
,,,STARTER AO,"9,336",160, € 	58.35 ,,,
,,PELLET/GRANULE,STARTER 1,"6,317",51, € 	123.86 ,,,
,,POWDER,STARTER 1,"167,976",5966, € 	28.16 ,,,
,MOSQUITO,AEROSOL,STARTER 1,"163,023",7553, € 	21.58 ,,,
,,,STARTER 4,,,,,,
,,,STARTER 6,"133,635",2282, € 	58.56 ,,,
,,,STARTER AO,"14,729",263, € 	56.00 ,,,
,,ASSORTED FORM,STARTER 1,"95,209",2456, € 	38.77 ,,,
,,,STARTER 2,"9,850",273, € 	36.08 ,,,
,,,STARTER 3,"61,980",1175, € 	52.75 ,,,
,,,STARTER 6,"17,897",626, € 	28.59 ,,,
,,,STARTER AO,"3,763",56, € 	67.19 ,,,
,,AUTOMATIC SPRAY,STARTER 1,"42,432",920, € 	46.12 ,,,
,,,STARTER 3,"1,640",31, € 	52.91 ,,,
,,,STARTER 6,947,13, € 	72.83 ,,,
,,,STARTER AO,"10,084",82, € 	122.97 ,,,
,,ELECTRIC LIQUID,REFILL 1,"6,776",137, € 	49.46 ,,,
,,,STARTER 1,"52,932",3055, € 	17.33 ,,,
,,ELECTRIC SAND,STARTER 1,244,19, € 	12.84 ,,,
,,GLUE STRIP,STARTER AO,"3,890",392, € 	9.92 ,,,
,,LIQUID BOTTLE,STARTER 1,"1,888,470",51009, € 	37.02 ,,,
,,,STARTER 2,"15,895",663, € 	23.97 ,,,
,,,STARTER 3,"26,219",231, € 	113.50 ,,,
,,,STARTER 5,"12,894",662, € 	19.48 ,,,
,,,STARTER AO,"6,190",247, € 	25.06 ,,,
,,LIQUID PUMP,STARTER 1,631,38, € 	16.59 ,,,
,,LIQUID TRIGGER,STARTER 1,"258,881",9524, € 	27.18 ,,,
,,,STARTER 2,"2,312",67, € 	34.50 ,,,
,,,STARTER 3,535,11, € 	48.67 ,,,
,,,STARTER 4,"2,263",157, € 	14.42 ,,,
,,,STARTER AO,"27,744",384, € 	72.25 ,,,
,,LOTION TUBE,STARTER 1,"42,161",2190, € 	19.25 ,,,
,,OIL SPRAY,STARTER 1,"5,529",243, € 	22.75 ,,,
,,PELLET/GRANULE,STARTER AO,"5,196",1057, € 	4.92 ,,,
,MOTH,,STARTER 1,"4,740",335, € 	14.15 ,,,
,,AEROSOL,STARTER 1,"98,660",5605, € 	17.60 ,,,
,,,STARTER 3,,,,,,
,,BALL,STARTER 1,"4,160",827, € 	5.03 ,,,
,MULTI CRAWLING,,STARTER 1,475,33, € 	14.40 ,,,
,,,STARTER 3,"8,489",493, € 	17.22 ,,,
,,AEROSOL,STARTER 1,"37,217",2993, € 	12.43 ,,,
,,,STARTER 5,"11,460",1911, € 	6.00 ,,,
,,LIQUID TRIGGER,STARTER 1,"61,681",3852, € 	16.01 ,,,
,MULTI FLYING & CRAWLING,,STARTER 1,"4,030",305, € 	13.21 ,,,
,,,STARTER 5,,,,,,
,,AEROSOL,STARTER 1,"156,833",15129, € 	10.37 ,,,
,,,STARTER 2,"3,069",290, € 	10.58 ,,,
,,,STARTER 3,"6,557",265, € 	24.74 ,,,
,,,STARTER 6,852,35, € 	24.35 ,,,
,,ALL OTHER FORM,STARTER 1,"49,774",1145, € 	43.47 ,,,
,,ASSORTED FORM,REFILL 1,"17,277",355, € 	48.67 ,,,
,,,STARTER 1,"102,408",1905, € 	53.76 ,,,
,,,STARTER 2,"12,903",201, € 	64.20 ,,,
,,BAIT STATION,STARTER 2,"13,379",1190, € 	11.24 ,,,
,,BALL,STARTER 1,"7,054",194, € 	36.36 ,,,
,,ELECTRIC LIQUID,STARTER 1,"13,948",759, € 	18.38 ,,,
,,,STARTER 6,"202,890",3134, € 	64.74 ,,,
,,FOGGER/FUMIGATOR/BOMB,STARTER 1,"9,057",831, € 	10.90 ,,,
,,,STARTER 6,,,,,,
,,GEL TUBE,STARTER 1,"9,891",556, € 	17.79 ,,,
,,LIQUID BOTTLE,REFILL 1,"2,712",86, € 	31.53 ,,,
,,,REFILL 5,"3,514",114, € 	30.83 ,,,
,,,STARTER 1,"1,403,311",55926, € 	25.09 ,,,
,,,STARTER 2,"6,466",284, € 	22.77 ,,,
,,,STARTER 5,"47,402",1396, € 	33.96 ,,,
,,,STARTER AO,"57,374",852, € 	67.34 ,,,
,,LIQUID TRIGGER,STARTER 1,"521,268",22247, € 	23.43 ,,,
,,,STARTER 4,"7,457",120, € 	62.14 ,,,
,,,STARTER AO,"11,641",123, € 	94.64 ,,,
,OTHER CRAWLING,,STARTER 1,"19,580",1469, € 	13.33 ,,,
,,,STARTER 2,"5,405",271, € 	19.95 ,,,
,,,STARTER 4,,,,,,
,,,STARTER AO,858,37, € 	23.18 ,,,
,,AEROSOL,STARTER 1,"556,809",56797, € 	9.80 ,,,
,,,STARTER 2,"81,487",5460, € 	14.92 ,,,
,,,STARTER 3,"39,821",922, € 	43.19 ,,,
,,,STARTER 5,"2,618",108, € 	24.24 ,,,
,,ALL OTHER FORM,STARTER 1,,,,,,
,,ASSORTED FORM,STARTER 1,"13,167",203, € 	64.86 ,,,
,,,STARTER 2,"6,152",217, € 	28.35 ,,,
,,FOGGER/FUMIGATOR/BOMB,STARTER 1,"2,144",73, € 	29.37 ,,,
,,GEL TUBE,STARTER 1,"2,553",235, € 	10.86 ,,,
,,LIQUID BOTTLE,REFILL 1,27,1, € 	27.05 ,,,
,,,STARTER 1,"82,162",2676, € 	30.70 ,,,
,,,STARTER 3,"49,891",1756, € 	28.41 ,,,
,,LIQUID TRIGGER,STARTER 1,"76,426",8279, € 	9.23 ,,,
,,TRAP,STARTER 1,"1,402",55, € 	25.49 ,,,
,,,STARTER 2,"6,185",672, € 	9.20 ,,,
,OTHER FLYING,,STARTER 1,"3,524",167, € 	21.10 ,,,
,,,STARTER 2,"1,222",49, € 	24.93 ,,,
,,AEROSOL,STARTER 1,"528,783",65586, € 	8.06 ,,,
,,,STARTER 2,"8,421",402, € 	20.95 ,,,
,,,STARTER 3,"40,451",1615, € 	25.05 ,,,
,,,STARTER AO,"6,770",126, € 	53.73 ,,,
,,ALL OTHER FORM,STARTER 1,626,40, € 	15.65 ,,,
,,ASSORTED FORM,REFILL 1,"16,105",269, € 	59.87 ,,,
,,,STARTER 1,948,29, € 	32.69 ,,,
,,FOAM,STARTER 1,"39,988",3802, € 	10.52 ,,,
,,,STARTER 2,778,32, € 	24.30 ,,,
,,LIQUID BOTTLE,STARTER 1,"45,041",1021, € 	44.11 ,,,
,,LIQUID TRIGGER,STARTER 1,"114,951",4499, € 	25.55 ,,,
,,TRAP,STARTER 1,"22,371",615, € 	36.38 ,,,
PERSONAL,,,STARTER 1,"2,332",109, € 	21.40 ,,,
,,,STARTER 2,"1,443",63, € 	22.91 ,,,
,MOSQUITO,,STARTER 1,"56,737",2532, € 	22.41 ,,,
,,AEROSOL,STARTER 1,"320,146",29868, € 	10.72 ,,,
,,,STARTER 2,"24,905",1793, € 	13.89 ,,,
,,,STARTER 3,"7,426",349, € 	21.28 ,,,
,,,STARTER 5,"7,394",1028, € 	7.19 ,,,
,,,STARTER 6,"10,990",112, € 	98.13 ,,,
,,ALL OTHER FORM,STARTER 1,"1,587",137, € 	11.59 ,,,
